low,high,street,side
9700,9799,POINTE TREMBLE LN,B
16200,16420,HOUGH RD,E
5700,5999,RIVER RIDGE LN,B
8855,9799,AVOCA RD,O
10058,10498,METCALF RD,E
411,411,S ETON ST,O
1787,1973,RAYNALE ST,O
111,111,S MATTESON ST,B
1,899,N BYWOOD AVE,B
14600,15898,CHARLES R AVE,E
15214,15536,NEHLS AVE,E
3201,3299,MAIN ST,O
9525,9797,MARINE CITY HWY,O
32320,32350,BOWDEN LN,E
31075,31075,HUNTLEY SQ W,O
31062,31388,W RUTLAND ST,E
18512,18626,DOGWOOD LN,E
2500,3000,BRICKER RD,B
23001,24989,S CHRYSLER DR,O
5190,5190,FISHER RD,E
25000,25899,FRIAR LN,B
22000,22299,CORRINE ST,B
15800,15998,COLGATE AVE,E
23552,23552,DONALDSON ST,E
34809,34921,HEATHMOORE DR,O
23846,23986,NEWBERRY DR,E
36179,36179,UNION LAKE RD,O
37261,37261,CHARTER OAKS BLVD,O
38255,39403,CYPRESS ST,O
37912,37912,S GROESBECK HWY,E
21270,21299,LILAC LN,B
24400,24599,S RIVER RD,B
44405,44407,BAYVIEW AVE,O
42000,42199,BRIANNA DR,B
16301,16641,EDINBURGH DR,O
42331,42355,E LEO ST,O
38876,38966,SAHR CT,E
836,936,BRUCE ST,E
114,848,SCOTT ST,E
1293,1399,NEW HAMPSHIRE AVE,O
900,998,MILLER RD,E
17377,17377,AVERHILL BLVD,O
54000,54500,EGO DR,B
20901,20901,LYON DR,B
52062,52062,PAWNEE DR,E
18100,18699,SABINE DR,B
1,99,4TH ST,B
4100,4202,RIVERVIEW CIR,E
49530,49922,BLOOMSBURY LN,B
49099,49346,DENEWETH FARMS DR,B
45600,46499,HILLSBORO DR,B
19500,19600,MILL POND DR,B
19309,19543,SANS DR,O
20100,20700,WINDHAM DR,B
37800,38994,HAZEL ST,E
37952,37988,ROSEWOOD CT,E
50900,51299,BEDFORD ST,B
47104,47199,FORTON RD,B
36500,36846,MARQUARDT CT,E
28600,28899,SQUIRE DR,B
32018,32141,CHANNING ST,B
59555,59555,WHITEWOOD DR,O
4810,4810,W WATER ST,E
